date	time	code	pop_total	pop_man_0_9	pop_man_10_14	pop_man_15_19	pop_man_20_24	pop_man_25_29	pop_man_30_34	pop_man_35_39	pop_man_40_44	pop_man_45_49	pop_man_50_54	pop_man_55_59	pop_man_60_64	pop_man_65_69	pop_man_70_over	pop_woman_0_9	pop_woman_10_14	pop_woman_15_19	pop_woman_20_24	pop_woman_25_29	pop_woman_30_34	pop_woman_35_39	pop_woman_40_44	pop_woman_45_49	pop_woman_50_54	pop_woman_55_59	pop_woman_60_64	pop_woman_65_69	pop_woman_70_over
20181001	09	11200560	32299.1282	880.6776	506.1832	579.4201	1574.4838	1336.3487	1116.3218	1173.0407	1163.8908	1309.9037	915.536	1142.6991	776.781	523.0887	1287.6672	974.0803	560.2091	1074.8059	1748.477	1452.9562	1371.5178	1299.8083	1210.6485	1326.4915	1203.9014	1266.7456	1265.5322	843.7974	2414.1164
20181001	09	11200570	14420.1833	813.544	411.4565	212.3882	318.1077	323.1976	292.6808	446.3503	394.5584	490.867	345.3228	391.0884	385.5263	275.8219	807.6436	770.079	428.6763	426.7252	437.1571	373.9953	524.5279	665.9653	585.8959	644.3368	457.7854	635.5886	580.1107	526.9747	1453.8121
20181001	09	11200580	12430.4009	916.0788	561.8946	280.6332	288.4653	229.9114	262.0229	316.1755	355.186	384.2083	284.607	320.2411	267.8558	244.7683	595.48	790.9775	489.9027	279.7037	317.423	277.1041	401.8428	478.6092	492.8883	504.7579	425.4549	518.7442	431.7757	429.8922	1283.7976
20181001	09	11200590	14958.6979	548.4087	302.6855	328.9821	369.6517	346.2469	359.7284	586.7096	506.2387	513.6245	360.732	391.9303	383.9094	352.8898	713.6552	598.6335	274.3234	347.6044	401.3585	446.1341	727.8161	909.8881	681.8679	656.5157	574.4669	718.1633	743.6714	519.7131	1293.1478
20181001	09	11200615	17978.3115	1021.0868	330.6819	273.2598	483.9281	461.8368	480.2149	702.1666	565.0799	582.7961	449.9326	475.8393	523.4378	400.4922	913.8944	641.8887	244.4364	301.4051	459.1209	532.8928	822.4518	939.8908	751.5733	755.9804	732.1893	827.6681	900.7528	634.1606	1769.2538
20181001	09	11200620	8419.3658	432.2424	141.5045	85.469	185.2635	263.7575	271.18	320.3841	293.6509	328.0561	294.1008	298.7143	294.2395	192.4198	465.9836	331.3234	108.0913	81.068	206.0781	221.8309	297.144	436.9341	348.8671	385.0438	278.5031	424.6733	344.6415	293.0725	795.1287
20181001	09	11200645	32118.4923	1586.7092	439.7422	356.5479	778.8333	948.0298	933.0659	1202.3435	1181.7053	1154.3462	811.9869	819.0548	826.3264	661.3505	1766.396	1773.5365	563.7396	562.6154	1087.8353	1233.0713	1493.907	1730.9557	1471.0762	1270.8287	1001.5541	1300.3224	1231.277	1125.4363	2805.8971
20181001	09	11200650	18712.9864	597.2324	287.4529	566.1016	480.8629	799.3421	787.9151	1033.783	926.9635	1000.4674	876.7743	1007.9993	655.9348	413.916	770.1305	506.7794	260.0455	353.0368	498.8553	820.942	722.4206	735.8843	732.9239	730.7586	655.1213	705.8886	595.0987	374.2873	816.0671
20181001	09	11200660	26429.8446	595.0835	268.4123	555.0934	743.0441	1400.477	1549.3805	1797.2247	1355.0913	1286.9958	1127.4818	1101.9094	760.2965	456.8834	922.6657	488.9786	220.1307	538.0194	1187.9734	1543.132	1355.0808	1177.3679	1003.1725	919.1715	811.1915	821.3752	714.3498	380.5853	1349.277
20181001	09	11200670	24053.2124	866.0846	386.3104	455.9231	589.6211	1244.4451	1270.5001	1503.3377	1443.4578	1343.0678	1059.6212	1247.9696	822.8627	472.9631	671.7715	731.0629	376.1366	214.3478	659.8339	1032.7451	1061.0925	937.2348	679.2535	913.7575	900.6181	800.9405	770.7234	490.0156	1107.5134
20181001	09	11200690	47104.6118	597.599	198.6566	369.4222	1220.6787	2987.4288	3150.8342	3438.3474	3022.4785	3022.3846	2214.3271	2448.3453	1462.4663	871.3311	1093.4672	593.1707	210.1788	310.3987	1977.9217	3248.9876	2627.3011	2170.3556	1769.4762	1911.6847	1483.4345	1523.9443	1037.1293	669.0259	1473.8359
20181001	09	11200720	10468.9411	171.037	86.4903	87.7639	474.9061	480.4247	580.6433	677.2213	519.3916	570.084	437.1524	419.2941	385.7479	229.7622	375.5815	194.7004	80.5275	158.3211	448.8918	537.7714	456.7052	423.4341	322.1948	395.4396	373.8917	376.8473	413.0455	211.2589	580.4113
20181001	09	11200790	23137.7762	284.7912	176.4126	298.0916	1115.0187	1199.9886	885.1944	1149.6556	1021.5468	1210.8551	1014.0347	1283.956	906.1605	521.4479	1088.2338	198.5605	130.9521	743.4679	1392.6	865.3901	883.673	834.2749	797.7371	888.1924	779.1227	867.3968	693.4739	529.661	1377.885
