time,code,pop_total,pop_man_0_9,pop_man_10_14,pop_man_15_19,pop_man_20_24,pop_man_25_29,pop_man_30_34,pop_man_35_39,pop_man_40_44,pop_man_45_49,pop_man_50_54,pop_man_55_59,pop_man_60_64,pop_man_65_69,pop_man_70_over,pop_woman_0_9,pop_woman_10_14,pop_woman_15_19,pop_woman_20_24,pop_woman_25_29,pop_woman_30_34,pop_woman_35_39,pop_woman_40_44,pop_woman_45_49,pop_woman_50_54,pop_woman_55_59,pop_woman_60_64,pop_woman_65_69,pop_woman_70_over
23,11140635,18655.023675,558.032525,201.909225,300.7579,351.939475,566.87535,642.724675,884.567925,726.7091,698.60575,553.4069,623.61125,605.1837,518.225775,1059.789125,544.38005,208.666075,310.7109,493.12215,658.76455,864.652175,962.06495,791.05295,738.70035,599.65905,861.4286,826.818475,618.702075,1883.963125
23,11140645,14080.804825,510.529875,243.20565,278.0015,335.210925,472.81945,562.129275,556.8098,513.19305,514.63795,467.5015,468.345675,452.59665,278.32145,766.630125,348.22855,176.757675,311.037725,452.2916,571.1872,723.0025,677.616125,539.754025,540.505375,547.4794,567.410475,490.671625,393.04195,1321.88875
23,11140650,12367.02655,355.547825,164.45555,229.72065,377.30735,446.808375,538.0918,601.89285,436.0051,518.467175,465.21135,438.2343,400.265425,262.583875,535.5371,535.65785,210.093075,211.29305,476.39825,513.8831,592.44865,559.105425,409.0445,472.526225,468.52395,483.134375,459.12025,334.986825,870.682575
23,11140665,9448.840575,338.8282,165.58095,145.376575,263.018175,342.3536,338.1139,375.953325,378.288075,376.69495,379.474775,357.9465,275.4403,235.6931,402.031625,297.838,174.469125,230.056725,322.726825,371.36075,352.977125,415.94255,327.167475,397.741975,375.9265,398.880275,362.571175,299.8339,746.554775
23,11140670,13237.8658,293.528575,77.4384,192.341375,391.26635,563.0371,724.163025,673.460475,489.47945,533.325225,405.31785,478.353075,343.56985,245.621675,553.734225,478.7296,123.652875,230.990125,602.561225,718.7903,799.29445,603.3202,443.241125,462.4012,406.435275,564.9266,509.38525,339.606675,989.894075
23,11140680,7089.4029,113.086725,38.5853,87.08805,160.66485,261.289375,302.96135,465.912975,376.933225,341.096375,344.248975,290.176325,210.905975,191.2758,371.137175,178.900225,69.4553,114.468475,175.07835,259.037675,368.184675,356.00585,287.611075,273.862175,217.003,227.7016,255.66845,228.4095,522.6539
23,11170510,16234.08815,372.132375,205.667325,369.5775,473.58145,592.104975,713.252925,691.689675,623.344375,702.414175,572.889575,552.30475,479.530675,336.569575,774.14045,503.949025,266.335225,311.494775,515.364725,714.241525,751.425775,742.2863,706.9317,635.463675,541.591925,680.002725,593.907225,401.536375,1410.3569
23,11170520,11690.573825,204.59095,110.0028,193.574025,528.981575,591.752525,638.3701,690.49565,515.43955,421.65635,325.7756,331.315325,384.91385,279.400125,481.52935,209.390675,118.351325,214.420925,395.854725,620.967075,700.073275,578.4795,411.6837,384.353975,297.8495,413.957825,437.0124,285.623375,924.758525
23,11170530,11331.944925,188.551075,90.979325,248.1564,668.826975,542.124225,595.38765,583.415775,551.032625,633.44215,528.892875,504.936175,381.652975,300.018525,498.325525,159.803625,72.756025,212.169125,598.220725,560.859425,461.64645,433.229425,335.165875,363.000425,345.38745,387.819725,314.389775,218.30445,553.450475
23,11170555,25611.05365,512.7905,369.209025,764.6488,916.815175,1110.32065,1069.292275,1106.181025,823.73755,898.07975,740.63915,734.8947,525.098825,395.946725,986.960275,505.39305,273.940675,1129.473825,2719.25055,1636.223225,1161.548025,993.3056,888.712025,809.33775,777.48135,903.355075,687.918975,534.951,1635.5482
23,11170560,16403.3924,665.067975,212.50685,295.0171,617.923425,687.0638,869.8784,992.780725,837.02655,709.17475,467.9968,485.92125,331.13935,245.07385,483.84015,540.2505,159.98135,259.646675,524.7614,929.1566,1119.3259,1036.438025,724.777175,604.881775,464.370875,568.6738,444.64905,353.15365,772.914775
23,11170570,14089.77505,491.4283,219.7377,312.628275,298.4411,396.7023,467.458475,627.1237,569.2297,667.1339,485.419375,495.835725,395.5315,337.725425,635.3818,435.979525,348.931675,414.043675,442.46285,505.206675,551.35935,624.84825,647.33345,609.0077,486.506275,549.36565,546.5202,401.84295,1126.5888
23,11170580,9334.7617,251.768975,148.670375,258.184075,205.1901,294.235675,394.3403,373.280125,368.00925,347.963675,245.1479,286.34625,223.517975,190.69545,468.36755,434.805725,205.145425,296.266675,481.7608,417.292175,405.1918,417.585575,360.734675,350.7332,312.75405,341.6707,272.258975,232.90465,749.939475
23,11170590,12771.901175,492.0635,222.283,304.134375,299.090475,407.548225,536.9572,566.7894,541.475325,519.267375,411.767825,440.228525,352.076175,266.871575,657.67115,502.281675,221.29175,281.760025,395.633975,491.545525,558.2844,612.36435,469.044375,500.2358,478.8862,426.772825,458.87975,357.1679,999.528925
23,11170625,28771.22855,693.516325,292.62295,369.0895,1019.7672,1255.2096,1593.206425,1631.0403,1466.40505,1373.464125,1096.21775,1036.879025,852.767825,569.5577,1275.5317,766.686375,285.358225,414.4162,941.0216,1417.512475,1535.170325,1364.42025,1159.90695,1034.5561,929.9969,955.4749,851.4001,632.5916,1957.44025
23,11170630,29422.684875,1165.736625,626.10055,610.0849,515.76025,624.705225,806.82845,1163.2768,1464.800125,1462.609325,1141.3465,973.30175,818.9292,559.933525,1441.89085,1118.3175,577.6583,640.197525,641.417,834.361725,1135.9026,1368.102875,1573.037025,1387.14875,1102.080225,1061.6152,1034.822775,717.5862,2855.1335
23,11170640,8523.414275,346.7209,121.25745,156.716,179.273475,230.022825,327.350875,363.370025,340.229375,339.425325,247.144075,290.94415,363.85755,274.172125,386.198675,291.905675,132.68425,144.6497,201.244175,273.027975,337.165875,313.096675,337.742325,336.8823,261.416075,425.50525,373.098175,231.20585,897.107725
